Maximum no of self consistency iterations = 30000.
Convergence error targetted = 0.0001
Iter       Error_OP             mu             E_CL        E_Quantum
0              196.629239325177              54.4128629697834                               0                487.114280761413
1              171.975566908733              54.2987223521895                               0                584.369149591031
2              150.249312376774              52.7301249498379                               0                664.091211140693
3              130.659389581283              51.8740297012246                               0                730.859449826963
4              113.523747587068              52.1488481207528                               0                784.101472225246
5               97.147860117327               51.622659968883                               0                 825.95775619494
6              83.3775157117536              51.0513437281628                               0                858.045092408119
7               71.243149108283              50.5966390356887                               0                882.228923662787
8              60.7583408380472               50.334054928498                               0                899.859262280106
9               51.722305163831              50.1974056803303                               0                 912.65283094991
10              43.9787834705076              50.1235899835627                               0                922.092668826921
11              37.3851981923727               50.094646367561                               0                929.193543785723
12              31.8018465305543              50.0999321512367                               0                934.627969874903
13              27.0811212288404              50.0939394819189                               0                938.850818555095
14               23.097816045235              50.0846414117496                               0                942.179940049827
15              19.7416145294242              50.0751142064025                               0                944.843214713479
16              16.9150817920721              50.0664116079402                               0                947.005779753944
17              14.5329331364456              50.0587965979947                               0                948.787482492539
18              12.5223241292983              50.0522427541645                               0                950.275264435991
19              10.8211106435598              50.0466323493023                               0                951.532342980735
20              9.37684396531706              50.0418309853548                               0                952.605018010878
21              8.14583140646475              50.0377128990768                               0                953.527626945425
22              7.09229514973065              50.0341674127597                               0                954.326076499951
23              6.18718842517456              50.0310989268508                               0                955.020315195716
24              5.40681532163516              50.0284253023563                               0                955.626042302955
25              4.73170207468719              50.0260763160817                               0                956.155880673068
26              4.14580880197042              50.0239925744537                               0                956.620180683685
27              3.63594951715277              50.0221247984284                               0                957.027574029021
28              3.19123944762672              50.0204332846595                               0                957.385359458453
29              2.80265293974133               50.018887371718                               0                957.699776111006
30              2.46260906227653              50.0174647546227                               0                957.976201600803
31              2.16467062292644              50.0161504286277                               0                958.219299396612
32              1.90334352147662              50.0149349371115                               0                958.433131600114
33              1.67393276588353              50.0138116277215                               0                958.621247664727
34              1.47241169343575               50.012773061998                               0                958.786755971625
35              1.29530703600369              50.0118075963534                               0                958.932382836239
36              1.13960720277695               50.010897743281                               0                959.060522011048
37              1.00269372061719              50.0100212406734                               0                959.173276781723
38             0.882274740277298              50.0091540856468                               0                959.272496128878
39             0.776348138671127              50.0082737775319                               0                959.359806021294
40             0.683160115675118              50.0073615064103                               0                959.436636638094
41             0.601172432925984               50.006403174319                               0                959.504246136344
42             0.529034784953102              50.0053898953711                               0                  959.5637414551
43             0.465561093138686              50.0043187219174                               0                959.616096557003
44             0.409709041420899               50.003193923804                               0                959.662168441945
