Maximum no of self consistency iterations = 50000.
Convergence error targetted = 1e-06
Iter       Error_OP             mu             E_CL        E_Quantum
0              9.60853046825417              39.2667305483076                251.618374861726               -412.274553225099
1              3.44076611115423              37.0191285935608                -209.08382532566               -155.122066406666
2              5.56777598181482              41.7554426239384                -347.42690595098               -106.481395290694
3              5.75807875661374              33.4102472140144               -218.563942121522               -93.5826261804299
4              3.89476520132861               33.991214847709               -223.997155636008               -104.499613627742
5              2.79566537221004              34.2960675033813               -225.387144588707               -101.171256857743
6              10.5151418291355              43.5049923673811                -265.35628334808               -231.342449425995
7              1.65593872152474              35.0014673164917               -237.808799077679               -104.479549675925
8              1.88829586400475              37.0612553745377               -237.255859770898               -136.760447375924
9              2.52856159070488              38.1289367146609               -215.048195169204               -180.029381280024
10              3.46986219506928              39.7091177236706               -216.576464915397               -207.268687159268
11              5.13811155481372              42.7600973768618               -218.423772193764               -262.964569431155
12              6.21417570842887              45.4117023608809               -346.199006389747               -178.120890555014
13              4.38883345266381              38.6732979038836               -200.720248223741               -216.588604622377
14              15.3195906001304              37.5436674858768                69.6577542792336               -477.268786993034
15               330.25045276954              739.131343210732                1206180.05273933               -24335.2395478915
16              6.25437742634332              37.2012438571686                -92.331320497091               -306.401382469449
17              2.71302951807897              39.6993637331129               -122.461596635802               -310.276035755391
18              6.66936854420231              44.1932798918693               -130.096842341468                 -353.6493049025
19              11.2719009566929              44.8635397755187               -302.571042161288               -306.466467875175
20              2.41123301704401              41.1600085395571               -201.232031996839               -244.366109580695
21               1.1352807863883              41.5556855586382               -263.657980358676               -191.129737515485
22              1.34311456208785              40.4916809872557               -238.563926204318               -200.290612545193
23              0.44256383975186              40.5864148948175               -196.670340459321               -244.514373600254
24             0.306470108713257              41.1242202692614               -220.644121820491               -229.286085074042
25             0.371656480358903              41.4256308200079               -224.816245735574               -230.027115990736
26             0.635389866784163               41.930254017516               -233.543895153961               -229.416129499915
27             0.080957105652557               41.435924715133               -226.818773296632               -228.285042034642
28            0.0902906084133368              41.3103608687264               -224.702747685765               -228.397779335174
29              5.96316489865758              42.0246076016923               -259.398966769112               -204.394655607131
30            0.0574351547418804              41.2813586692059               -221.715828436749               -230.943079027697
31            0.0485618405147332              41.3656637557124                -225.92819386183               -228.085986717922
32             0.040368178186171              41.3486859894935               -224.601274123652               -229.154756357124
33            0.0305170263233849              41.3562145889049               -224.633732597284               -229.264933406609
34             0.114543631750251              41.4500983551624               -223.299251756281               -232.126862044808
35            0.0293407024440683              41.4106228823824               -225.343791412174               -229.453915987999
36            0.0175544371461599              41.4057735027553               -225.303345546959                -229.42327141939
37            0.0145903329772764              41.3808665381103               -224.146318443921               -230.184883272958
38           0.00848829098880496              41.3854733265256                -224.46818635694               -229.937069378426
39           0.00427433092380549               41.378834257748               -224.494390571651               -229.805060548697
40           0.00561350181507829              41.3562049125919               -224.375438384737               -229.562158334734
41           0.00317996094721466              41.3683555951011                -224.47418945093               -229.657937767875
42            0.0013179093136153              41.3707346480167               -224.498421882925               -229.671774139898
43          0.000938327073703899              41.3691742689909               -224.487764435695                 -229.6574762969
44          0.000663645440106669              41.3677458960256                -224.47436323684               -229.648035128883
45          0.000740287661335713              41.3678017148664               -224.475673343697               -229.647620052857
46          0.000620230491614636              41.3673861387326               -224.471532199567               -229.645115709425
47          0.000327160689050493              41.3665447633459               -224.463310695391               -229.639882426686
48           0.00031974903380739              41.3667369942212               -224.465695315778               -229.640574463927
49          0.000165966572665476              41.3669984578397               -224.468940900774               -229.641513761094
50          0.000134264211961874              41.3668666058117               -224.467105665603               -229.641239589724
51          0.000104582965035269              41.3668184884431               -224.466075373775                -229.64150016915
52          5.98064583255636e-05              41.3668510243226               -224.465993508111               -229.642102810234
53          4.28388173437391e-05              41.3669193431989               -224.466862969151               -229.642326484322
54            0.0001858135478811               41.366677996689               -224.464663759292               -229.640663233774
55          1.14474682370504e-05              41.3669915381374               -224.467571153089               -229.642773468927
56          9.28772783811901e-06              41.3669921838499                -224.46762160812               -229.642733346126
57          7.97072777137985e-06              41.3669951128626               -224.467667701455               -229.642734117612
58           4.5514534440591e-06              41.3670007871557               -224.467789547613               -229.642703061411
59          3.77615967615995e-06              41.3670009707968                -224.46780575591               -229.642689791666
60          2.79288025580109e-06              41.3670008223099               -224.467805899341               -229.642687272707
61          1.83812827451027e-06              41.3670005556452               -224.467796187199               -229.642692718351
62          1.03873838934537e-06              41.3670008297825               -224.467784883579                -229.64270840825
63          5.84968456939851e-07              41.3670011836358               -224.467791588339               -229.642707365159
