#site     state_i   state_j   OP.real    OP.imag
4       2          2        0.830818        0
4       2          3        -0.00715191        3.08752e-07
4       2          4        0.239214        7.36938e-09
4       2          5        -0.00505736        -5.50255e-07
4       3          0        -2.58441e-05        2.14956e-09
4       3          1        0.0125851        -5.80084e-07
4       3          2        -0.00715191        -3.08752e-07
4       3          3        0.333653        0
4       3          4        0.0101028        5.11155e-07
4       3          5        -0.471147        1.75572e-09
4       4          0        1.08075e-06        6.48301e-07
4       4          1        0.407324        1.72201e-08
4       4          2        0.239214        -7.36938e-09
4       4          3        0.0101028        -5.11155e-07
4       4          4        0.661669        0
4       4          5        0.00714589        -1.96838e-07
4       5          0        3.60302e-05        -3.89784e-09
4       5          1        0.0088972        1.63293e-07
4       5          2        -0.00505736        5.50255e-07
4       5          3        -0.471147        -1.75572e-09
4       5          4        0.00714589        1.96838e-07
4       5          5        0.666804        0
5       0          0        0.999956        0
5       0          1        -1.29141e-06        4.77415e-07
5       0          2        -7.61611e-07        -7.24899e-08
5       0          3        -2.58441e-05        -2.14956e-09
5       0          4        1.08075e-06        -6.48301e-07
5       0          5        3.60302e-05        3.89784e-09
5       1          0        -1.29141e-06        -4.77415e-07
5       1          1        0.507096        0
5       1          2        -0.288022        7.6771e-09
5       1          3        0.0125851        5.80084e-07
5       1          4        0.407324        -1.72201e-08
5       1          5        0.0088972        -1.63293e-07
5       2          0        -7.61611e-07        7.24899e-08
5       2          1        -0.288022        -7.6771e-09
5       2          2        0.830818        0
5       2          3        -0.00715191        3.08752e-07
5       2          4        0.239214        7.36938e-09
5       2          5        -0.00505736        -5.50255e-07
5       3          0        -2.58441e-05        2.14956e-09
5       3          1        0.0125851        -5.80084e-07
5       3          2        -0.00715191        -3.08752e-07
5       3          3        0.333653        0
5       3          4        0.0101028        5.11155e-07
5       3          5        -0.471147        1.75572e-09
5       4          0        1.08075e-06        6.48301e-07
5       4          1        0.407324        1.72201e-08
5       4          2        0.239214        -7.36938e-09
5       4          3        0.0101028        -5.11155e-07
5       4          4        0.661669        0
5       4          5        0.00714589        -1.96838e-07
5       5          0        3.60302e-05        -3.89784e-09
5       5          1        0.0088972        1.63293e-07
5       5          2        -0.00505736        5.50255e-07
5       5          3        -0.471147        -1.75572e-09
5       5          4        0.00714589        1.96838e-07
5       5          5        0.666804        0
6       0          0        0.999956        0
6       0          1        -1.29141e-06        4.77415e-07
6       0          2        -7.61611e-07        -7.24899e-08
6       0          3        -2.58441e-05        -2.14956e-09
6       0          4        1.08075e-06        -6.48301e-07
6       0          5        3.60302e-05        3.89784e-09
6       1          0        -1.29141e-06        -4.77415e-07
6       1          1        0.507096        0
6       1          2        -0.288022        7.6771e-09
6       1          3        0.0125851        5.80084e-07
6       1          4        0.407324        -1.72201e-08
6       1          5        0.0088972        -1.63293e-07
6       2          0        -7.61611e-07        7.24899e-08
6       2          1        -0.288022        -7.6771e-09
6       2          2        0.830818        0
6       2          3        -0.00715191        3.08752e-07
6       2          4        0.239214        7.36938e-09
6       2          5        -0.00505736        -5.50255e-07
6       3          0        -2.58441e-05        2.14956e-09
6       3          1        0.0125851        -5.80084e-07
6       3          2        -0.00715191        -3.08752e-07
6       3          3        0.333653        0
6       3          4        0.0101028        5.11155e-07
6       3          5        -0.471147        1.75572e-09
6       4          0        1.08075e-06        6.48301e-07
6       4          1        0.407324        1.72201e-08
6       4          2        0.239214        -7.36938e-09
6       4          3        0.0101028        -5.11155e-07
6       4          4        0.661669        0
6       4          5        0.00714589        -1.96838e-07
6       5          0        3.60302e-05        -3.89784e-09
6       5          1        0.0088972        1.63293e-07
6       5          2        -0.00505736        5.50255e-07
6       5          3        -0.471147        -1.75572e-09
6       5          4        0.00714589        1.96838e-07
6       5          5        0.666804        0
7       0          0        0.999956        0
7       0          1        -1.29141e-06        4.77415e-07
7       0          2        -7.61611e-07        -7.24899e-08
7       0          3        -2.58441e-05        -2.14956e-09
7       0          4        1.08075e-06        -6.48301e-07
7       0          5        3.60302e-05        3.89784e-09
7       1          0        -1.29141e-06        -4.77415e-07
7       1          1        0.507096        0
7       1          2        -0.288022        7.6771e-09
7       1          3        0.0125851        5.80084e-07
7       1          4        0.407324        -1.72201e-08
7       1          5        0.0088972        -1.63293e-07
7       2          0        -7.61611e-07        7.24899e-08
7       2          1        -0.288022        -7.6771e-09
7       2          2        0.830818        0
7       2          3        -0.00715191        3.08752e-07
7       2          4        0.239214        7.36938e-09
7       2          5        -0.00505736        -5.50255e-07
7       3          0        -2.58441e-05        2.14956e-09
7       3          1        0.0125851        -5.80084e-07
7       3          2        -0.00715191        -3.08752e-07
7       3          3        0.333653        0
7       3          4        0.0101028        5.11155e-07
7       3          5        -0.471147        1.75572e-09
7       4          0        1.08075e-06        6.48301e-07
7       4          1        0.407324        1.72201e-08
7       4          2        0.239214        -7.36938e-09
7       4          3        0.0101028        -5.11155e-07
7       4          4        0.661669        0
7       4          5        0.00714589        -1.96838e-07
7       5          0        3.60302e-05        -3.89784e-09
7       5          1        0.0088972        1.63293e-07
7       5          2        -0.00505736        5.50255e-07
7       5          3        -0.471147        -1.75572e-09
7       5          4        0.00714589        1.96838e-07
7       5          5        0.666804        0
8       0          0        0.999956        0
8       0          1        -1.29141e-06        4.77415e-07
8       0          2        -7.61611e-07        -7.24899e-08
8       0          3        -2.58441e-05        -2.14956e-09
8       0          4        1.08075e-06        -6.48301e-07
8       0          5        3.60302e-05        3.89784e-09
8       1          0        -1.29141e-06        -4.77415e-07
8       1          1        0.507096        0
8       1          2        -0.288022        7.6771e-09
8       1          3        0.0125851        5.80084e-07
8       1          4        0.407324        -1.72201e-08
8       1          5        0.0088972        -1.63293e-07
8       2          0        -7.61611e-07        7.24899e-08
8       2          1        -0.288022        -7.6771e-09
8       2          2        0.830818        0
8       2          3        -0.00715191        3.08752e-07
8       2          4        0.239214        7.36938e-09
8       2          5        -0.00505736        -5.50255e-07
8       3          0        -2.58441e-05        2.14956e-09
8       3          1        0.0125851        -5.80084e-07
8       3          2        -0.00715191        -3.08752e-07
8       3          3        0.333653        0
8       3          4        0.0101028        5.11155e-07
8       3          5        -0.471147        1.75572e-09
8       4          0        1.08075e-06        6.48301e-07
8       4          1        0.407324        1.72201e-08
8       4          2        0.239214        -7.36938e-09
8       4          3        0.0101028        -5.11155e-07
8       4          4        0.661669        0
8       4          5        0.00714589        -1.96838e-07
8       5          0        3.60302e-05        -3.89784e-09
8       5          1        0.0088972        1.63293e-07
8       5          2        -0.00505736        5.50255e-07
8       5          3        -0.471147        -1.75572e-09
8       5          4        0.00714589        1.96838e-07
8       5          5        0.666804        0
9       0          0        0.999956        0
9       0          1        -1.29141e-06        4.77415e-07
9       0          2        -7.61611e-07        -7.24899e-08
9       0          3        -2.58441e-05        -2.14956e-09
9       0          4        1.08075e-06        -6.48301e-07
9       0          5        3.60302e-05        3.89784e-09
9       1          0        -1.29141e-06        -4.77415e-07
9       1          1        0.507096        0
9       1          2        -0.288022        7.6771e-09
9       1          3        0.0125851        5.80084e-07
9       1          4        0.407324        -1.72201e-08
9       1          5        0.0088972        -1.63293e-07
9       2          0        -7.61611e-07        7.24899e-08
9       2          1        -0.288022        -7.6771e-09
9       2          2        0.830818        0
9       2          3        -0.00715191        3.08752e-07
9       2          4        0.239214        7.36938e-09
9       2          5        -0.00505736        -5.50255e-07
9       3          0        -2.58441e-05        2.14956e-09
9       3          1        0.0125851        -5.80084e-07
9       3          2        -0.00715191        -3.08752e-07
9       3          3        0.333653        0
