#(w-mu)    yz_up    xz_up      xy_up     yz_dn    xz_dn      xy_dn
-19.615       0.00271148      0.00271148      0.169611      0.00159589      0.00159589      0.004386      
-19.61       0.00273287      0.00273287      0.158381      0.00153722      0.00153722      0.0043356      
-19.605       0.00275456      0.00275456      0.148255      0.00148471      0.00148471      0.00428607      
-19.6       0.00277656      0.00277656      0.139093      0.00143756      0.00143756      0.0042374      
-19.595       0.00279887      0.00279887      0.130776      0.00139513      0.00139513      0.00418957      
-19.59       0.0028215      0.0028215      0.123203      0.00135686      0.00135686      0.00414255      
-19.585       0.00284446      0.00284446      0.116287      0.00132225      0.00132225      0.00409634      
-19.58       0.00286775      0.00286775      0.109955      0.00129091      0.00129091      0.0040509      
-19.575       0.00289139      0.00289139      0.104141      0.00126248      0.00126248      0.00400623      
-19.57       0.00291536      0.00291536      0.0987915      0.00123666      0.00123666      0.0039623      
-19.565       0.00293969      0.00293969      0.0938571      0.00121316      0.00121316      0.00391911      
-19.56       0.00296438      0.00296438      0.0892958      0.00119177      0.00119177      0.00387663      
-19.555       0.00298943      0.00298943      0.0850708      0.00117228      0.00117228      0.00383485      
-19.55       0.00301486      0.00301486      0.0811497      0.00115451      0.00115451      0.00379375      
-19.545       0.00304067      0.00304067      0.0775037      0.00113829      0.00113829      0.00375332      
-19.54       0.00306687      0.00306687      0.0741076      0.0011235      0.0011235      0.00371354      
-19.535       0.00309347      0.00309347      0.0709388      0.00111      0.00111      0.00367441      
-19.53       0.00312047      0.00312047      0.0679774      0.00109768      0.00109768      0.0036359      
-19.525       0.00314789      0.00314789      0.0652054      0.00108646      0.00108646      0.003598      
-19.52       0.00317573      0.00317573      0.062607      0.00107623      0.00107623      0.00356071      
-19.515       0.003204      0.003204      0.0601678      0.00106692      0.00106692      0.003524      
-19.51       0.00323272      0.00323272      0.0578749      0.00105846      0.00105846      0.00348787      
-19.505       0.00326188      0.00326188      0.0557167      0.00105079      0.00105079      0.0034523      
-19.5       0.0032915      0.0032915      0.0536828      0.00104385      0.00104385      0.00341728      
-19.495       0.00332159      0.00332159      0.0517637      0.00103758      0.00103758      0.00338281      
-19.49       0.00335217      0.00335217      0.0499509      0.00103194      0.00103194      0.00334886      
-19.485       0.00338323      0.00338323      0.0482365      0.00102689      0.00102689      0.00331543      
-19.48       0.0034148      0.0034148      0.0466134      0.00102239      0.00102239      0.00328252      
-19.475       0.00344688      0.00344688      0.0450752      0.00101839      0.00101839      0.00325009      
-19.47       0.00347948      0.00347948      0.0436161      0.00101488      0.00101488      0.00321816      
-19.465       0.00351262      0.00351262      0.0422305      0.00101182      0.00101182      0.00318671      
-19.46       0.00354631      0.00354631      0.0409136      0.00100919      0.00100919      0.00315573      
-19.455       0.00358056      0.00358056      0.0396608      0.00100695      0.00100695      0.0031252      
-19.45       0.00361538      0.00361538      0.038468      0.00100509      0.00100509      0.00309513      
-19.445       0.0036508      0.0036508      0.0373314      0.00100359      0.00100359      0.0030655      
-19.44       0.00368681      0.00368681      0.0362474      0.00100243      0.00100243      0.0030363      
-19.435       0.00372344      0.00372344      0.0352128      0.00100158      0.00100158      0.00300752      
-19.43       0.0037607      0.0037607      0.0342245      0.00100104      0.00100104      0.00297917      
-19.425       0.0037986      0.0037986      0.0332798      0.00100079      0.00100079      0.00295122      
-19.42       0.00383717      0.00383717      0.0323762      0.00100082      0.00100082      0.00292367      
-19.415       0.00387641      0.00387641      0.0315112      0.00100111      0.00100111      0.00289652      
